Brown Stained Glass,mcl_core:glass_brown
Crimson Slab,mcl_stairs:slab_crimson_top
Acacia Stairs,mcl_stairs:stair_acacia
Cyan Concrete Stairs,mcl_stairs:stair_concrete_cyan
Acacia Stairs,mcl_stairs:stair_acacia_outer
Acacia Stairs,mcl_stairs:stair_acacia_inner
Purple Terracotta Slab,mcl_stairs:slab_hardened_clay_purple_double
Cauldron (3/3 Lava),mcl_cauldrons:cauldron_3_lava
Preview Banner,mcl_banners:banner_preview_stripe_downright_black
Weathered Copper Bulb,mcl_copper:bulb_weathered_off_preserved
Dirt with Snow,mcl_core:dirt_with_grass_snow
Top Snow,mcl_core:snow
Spruce Leaves,mcl_trees:leaves_spruce
Spruce Log,mcl_trees:tree_spruce
Enchanted Golden Apple,mcl_core:apple_gold_enchanted
Oxidized Copper Bulb,mcl_copper:bulb_oxidized_off_preserved
Purple Terracotta Slab,mcl_stairs:slab_hardened_clay_purple_top
Purple Terracotta Slab,mcl_stairs:slab_hardened_clay_purple
Purple Terracotta Stairs,mcl_stairs:stair_hardened_clay_purple_inner
Purple Terracotta Stairs,mcl_stairs:stair_hardened_clay_purple_outer
Decorated Pot,mcl_pottery_sherds:pot
Purple Terracotta Stairs,mcl_stairs:stair_hardened_clay_purple Copper Trapdoor,mcl_copper:trapdoor_preserved
Purple Concrete Slab,mcl_stairs:slab_concrete_purple_double
Awkward Potion,mcl_potions:awkward
of Weakness,mcl_potions:weakness
Preview Banner,mcl_banners:banner_preview_stripe_right_black
Crafting Table,mcl_crafting_table:crafting_table
Exposed Copper Trapdoor,mcl_copper:trapdoor_exposed_preserved
Purple Concrete Slab,mcl_stairs:slab_concrete_purple_top
Purple Concrete Slab,mcl_stairs:slab_concrete_purple
Polished Diorite Slab,mcl_stairs:slab_diorite_smooth_double
Preview Banner,mcl_banners:banner_preview_stripe_top_black
Chorus Fruit,mcl_end:chorus_fruit
Weathered Copper Trapdoor,mcl_copper:trapdoor_weathered_preserved
Wooden Pickaxe,mcl_tools:pick_wood
of Poison,mcl_potions:poison
of Leaping,mcl_potions:leaping
Preview Banner,mcl_banners:banner_preview_triangle_bottom_black
Cauldron (1/3 Lava),mcl_cauldrons:cauldron_1_lava
Oxidized Copper Trapdoor,mcl_copper:trapdoor_oxidized_preserved
Purple Concrete Stairs,mcl_stairs:stair_concrete_purple
Lime Terracotta Slab,mcl_stairs:slab_hardened_clay_lime_double
Glass Pane,mcl_panes:pane_natural_flat
Angler Pottery Sherd,mcl_pottery_sherds:angler
nil,mesecons_pistons:piston_normal_on
nil,mesecons_pistons:piston_pusher_normal
Waxed mcl_copper:trapdoor_open,mcl_copper:trapdoor_open_preserved
Howl Pottery Sherd,mcl_pottery_sherds:howl
Lime Terracotta Stairs,mcl_stairs:stair_hardened_clay_lime_outer
Magenta Wool,mcl_wool:magenta
Bread,mcl_farming:bread
Cauldron (2/3 Lava),mcl_cauldrons:cauldron_2_lava
of Luck,mcl_potions:luck
of Bad Luck,mcl_potions:bad_luck
Magenta Carpet,mcl_wool:magenta_carpet
Smithing Table,mcl_smithing_table:table
Waxed mcl_copper:trapdoor_weathered_open,mcl_copper:trapdoor_weathered_open_preserved
Lime Terracotta Stairs,mcl_stairs:stair_hardened_clay_lime
Lime Concrete Slab,mcl_stairs:slab_concrete_lime_double
Dried Kelp,mcl_ocean:dried_kelp
Orange Wool,mcl_wool:orange
Waxed mcl_copper:trapdoor_oxidized_open,mcl_copper:trapdoor_oxidized_open_preserved
Lime Concrete Slab,mcl_stairs:slab_concrete_lime
Lime Concrete Stairs,mcl_stairs:stair_concrete_lime_inner
Orange Carpet,mcl_wool:orange_carpet
nil,mesecons_pistons:piston_sticky_on
nil,mesecons_pistons:piston_pusher_sticky
Lime Concrete Stairs,mcl_stairs:stair_concrete_lime_outer
Waxed Cut Copper Stairs,mcl_stairs:stair_copper_cut_preserved
Waxed Cut Copper Stairs,mcl_stairs:stair_copper_cut_outer_preserved
Blue Wool,mcl_wool:blue
Lime Concrete Stairs,mcl_stairs:stair_concrete_lime
Light Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_light_blue_double
Light Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_light_blue_top
Blue Carpet,mcl_wool:blue_carpet
nil,mesecons_pistons:piston_up_pusher_normal
Waxed Exposed Cut Copper Stairs,mcl_stairs:stair_copper_exposed_cut_preserved
Waxed Exposed Cut Copper Stairs,mcl_stairs:stair_copper_exposed_cut_outer_preserved
Waxed Exposed Cut Copper Stairs,mcl_stairs:stair_copper_exposed_cut_inner_preserved
Light Blue Terracotta Slab,mcl_stairs:slab_hardened_clay_light_blue
Light Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_light_blue_inner
nil,mesecons_pistons:piston_up_sticky_on
nil,mesecons_pistons:piston_up_pusher_sticky
Green Carpet,mcl_wool:green_carpet
Waxed Weathered Cut Copper Stairs,mcl_stairs:stair_copper_weathered_cut_preserved
Waxed Weathered Cut Copper Stairs,mcl_stairs:stair_copper_weathered_cut_outer_preserved
Waxed Weathered Cut Copper Stairs,mcl_stairs:stair_copper_weathered_cut_inner_preserved
nil,mesecons_pistons:piston_down_pusher_normal
Light Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_light_blue_outer
Red Wool,mcl_wool:red
Light Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_light_blue
Light Blue Concrete Slab,mcl_stairs:slab_concrete_light_blue_double
Waxed Oxidized Cut Copper Stairs,mcl_stairs:stair_copper_oxidized_cut_preserved
Waxed Oxidized Cut Copper Stairs,mcl_stairs:stair_copper_oxidized_cut_outer_preserved
Waxed Oxidized Cut Copper Stairs,mcl_stairs:stair_copper_oxidized_cut_inner_preserved
Light Blue Concrete Slab,mcl_stairs:slab_concrete_light_blue_top
nil,mcl_mushrooms:brown_mushroom_block_cap_101110
Dead Brain Coral Block,mcl_ocean:dead_brain_coral_block
Light Blue Concrete Stairs,mcl_stairs:stair_concrete_light_blue_outer
Dark Prismarine Slab,mcl_stairs:slab_prismarine_dark_top
Light Grey Terracotta Slab,mcl_stairs:slab_hardened_clay_silver_double
Upper Cut Copper Slab,mcl_stairs:slab_copper_cut_top_preserved
Black Carpet,mcl_wool:black_carpet
Light Grey Terracotta Slab,mcl_stairs:slab_hardened_clay_silver_top
Light Grey Terracotta Slab,mcl_stairs:slab_hardened_clay_silver
Weathered Cut Copper Stairs,mcl_stairs:stair_copper_weathered_cut_outer
Double Exposed Cut Copper Slab,mcl_stairs:slab_copper_exposed_cut_double
Upper Exposed Cut Copper Slab,mcl_stairs:slab_copper_exposed_cut_top_preserved
Double Exposed Cut Copper Slab,mcl_stairs:slab_copper_exposed_cut_double_preserved
Exposed Cut Copper Slab,mcl_stairs:slab_copper_exposed_cut
Stone Bricks,mcl_core:stonebrick
Light Grey Concrete Slab,mcl_stairs:slab_concrete_silver_top
Iron Nugget,mcl_core:iron_nugget
Brown Carpet,mcl_wool:brown_carpet
Double Weathered Cut Copper Slab,mcl_stairs:slab_copper_weathered_cut_double_preserved
Light Grey Concrete Stairs,mcl_stairs:stair_concrete_silver_inner
Light Grey Concrete Stairs,mcl_stairs:stair_concrete_silver_outer
Oxidized Copper,mcl_copper:block_oxidized
of Decay,mcl_potions:withering_splash
Red Nether Brick Wall,mcl_walls:rednetherbrick_10
Double Oxidized Cut Copper Slab,mcl_stairs:slab_copper_oxidized_cut_double_preserved
Red Nether Brick Wall,mcl_walls:rednetherbrick_11
Yellow Terracotta Slab,mcl_stairs:slab_hardened_clay_yellow_top
Red Nether Brick Wall,mcl_walls:rednetherbrick_12
Yellow Terracotta Slab,mcl_stairs:slab_hardened_clay_yellow
nil,mcl_heads:zombie_ceiling
Yellow Terracotta Stairs,mcl_stairs:stair_hardened_clay_yellow_inner
Red Nether Brick Wall,mcl_walls:rednetherbrick_14
Yellow Terracotta Stairs,mcl_stairs:stair_hardened_clay_yellow_outer
Red Nether Brick Wall,mcl_walls:rednetherbrick_15
of Decay,mcl_potions:withering
Red Nether Brick Wall,mcl_walls:rednetherbrick_16
Bee Nest,mcl_beehives:bee_nest_3
nil,mcl_heads:zombie_wall
Light Grey Carpet,mcl_wool:silver_carpet
Yellow Concrete Slab,mcl_stairs:slab_concrete_yellow_top
of Poison,mcl_potions:poison_splash
Hanging Propagule,mcl_mangrove:hanging_propagule_1
Mud Brick Wall,mcl_walls:mudbrick_0
Unknown Tipped Arrow,mcl_potions:compat_arrow
nil,mcl_heads:creeper_ceiling
Preview Banner,mcl_banners:banner_preview_stripe_middle_cyan
Mud Brick Wall,mcl_walls:mudbrick_2
Yellow Concrete Stairs,mcl_stairs:stair_concrete_yellow_outer
Mud Brick Wall,mcl_walls:mudbrick_3
of Decay,mcl_potions:withering_lingering
Mud Brick Wall,mcl_walls:mudbrick_4
Brown Terracotta Slab,mcl_stairs:slab_hardened_clay_brown_double
nil,mcl_heads:creeper_wall
Brown Terracotta Slab,mcl_stairs:slab_hardened_clay_brown_top
Mud Brick Wall,mcl_walls:mudbrick_6
Brown Terracotta Slab,mcl_stairs:slab_hardened_clay_brown
Mud Brick Wall,mcl_walls:mudbrick_7
Preview Banner,mcl_banners:banner_preview_globe_cyan
Mud Brick Wall,mcl_walls:mudbrick_8
nil,mcl_heads:steve_ceiling
Mud Brick Wall,mcl_walls:mudbrick_9
Brown Terracotta Stairs,mcl_stairs:stair_hardened_clay_brown_outer
Mud Brick Wall,mcl_walls:mudbrick_10
Brown Terracotta Stairs,mcl_stairs:stair_hardened_clay_brown
Mud Brick Wall,mcl_walls:mudbrick_11
A place to plant flower crops,mcl_villages:crop_flower_1
Mud Brick Wall,mcl_walls:mudbrick_12
nil,mcl_heads:steve_wall
Mud Brick Wall,mcl_walls:mudbrick_13
Brown Concrete Slab,mcl_stairs:slab_concrete_brown_top
Mud Brick Wall,mcl_walls:mudbrick_14
Brown Concrete Slab,mcl_stairs:slab_concrete_brown
Mud Brick Wall,mcl_walls:mudbrick_15
Brown Concrete Stairs,mcl_stairs:stair_concrete_brown_inner
Mud Brick Wall,mcl_walls:mudbrick_16
Preview Banner,mcl_banners:banner_preview_flower_red
Mud Brick Wall,mcl_walls:mudbrick_21
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_red
Preview Banner,mcl_banners:banner_preview_stripe_middle_red
Black Terracotta Slab,mcl_stairs:slab_hardened_clay_black_top
Preview Banner,mcl_banners:banner_preview_triangles_top_red
Preview Banner,mcl_banners:banner_preview_triangle_bottom_red
Nether Lava Source,mcl_nether:nether_lava_source
Powered Redstone Trail (11000000),mesecons:wire_11000000_on
Redstone Trail (11000000),mesecons:wire_11000000_off
Preview Banner,mcl_banners:banner_preview_piglin_red
Preview Banner,mcl_banners:banner_preview_globe_red
Black Terracotta Stairs,mcl_stairs:stair_hardened_clay_black_outer
Black Terracotta Stairs,mcl_stairs:stair_hardened_clay_black
Preview Banner,mcl_banners:banner_preview_stripe_middle_lime
Black Concrete Slab,mcl_stairs:slab_concrete_black_top
Preview Banner,mcl_banners:banner_preview_stripe_right_lime
nil,mcl_ocean:seagrass_dirt
nil,mcl_ocean:seagrass_sand
Powered Redstone Trail (00100000),mesecons:wire_00100000_on
Redstone Trail (00100000),mesecons:wire_00100000_off
Seagrass,mcl_ocean:seagrass
Black Concrete Stairs,mcl_stairs:stair_concrete_black_inner
Preview Banner,mcl_banners:banner_preview_guster_red
Black Concrete Stairs,mcl_stairs:stair_concrete_black_outer
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_4
Tuff Bricks Wall,mcl_deepslate:tuffbrickswall_11
Red Terracotta Slab,mcl_stairs:slab_hardened_clay_red_top
Red Terracotta Slab,mcl_stairs:slab_hardened_clay_red
Preview Banner,mcl_banners:banner_preview_flow_red
Powered Redstone Trail (10100000),mesecons:wire_10100000_on
Redstone Trail (10100000),mesecons:wire_10100000_off
Red Terracotta Stairs,mcl_stairs:stair_hardened_clay_red_inner
Preview Banner,mcl_banners:banner_preview_square_bottom_right_light_blue
Red Terracotta Stairs,mcl_stairs:stair_hardened_clay_red_outer
Red Terracotta Stairs,mcl_stairs:stair_hardened_clay_red
Green Concrete Powder,mcl_colorblocks:concrete_powder_green
Red Concrete Slab,mcl_stairs:slab_concrete_red_top
Red Carpet,mcl_wool:red_carpet
Preview Banner,mcl_banners:banner_preview_square_top_left_light_blue
Preview Banner,mcl_banners:banner_preview_border_lime
Powered Redstone Trail (01100000),mesecons:wire_01100000_on
Redstone Trail (01100000),mesecons:wire_01100000_off
Bottle o' Enchanting,mcl_experience:bottle
Red Concrete Stairs,mcl_stairs:stair_concrete_red_outer
Preview Banner,mcl_banners:banner_preview_square_top_right_light_blue
Preview Banner,mcl_banners:banner_preview_bricks_lime
Red Concrete Stairs,mcl_stairs:stair_concrete_red
Green Terracotta Slab,mcl_stairs:slab_hardened_clay_green_double
Green Terracotta Slab,mcl_stairs:slab_hardened_clay_green_top
Green Terracotta Slab,mcl_stairs:slab_hardened_clay_green
Preview Banner,mcl_banners:banner_preview_straight_cross_light_blue
Powered Redstone Trail (11100000),mesecons:wire_11100000_on
Redstone Trail (11100000),mesecons:wire_11100000_off
Green Terracotta Stairs,mcl_stairs:stair_hardened_clay_green_inner
Green Terracotta Stairs,mcl_stairs:stair_hardened_clay_green_outer
Green Terracotta Stairs,mcl_stairs:stair_hardened_clay_green
Preview Banner,mcl_banners:banner_preview_stripe_bottom_light_blue
Preview Banner,mcl_banners:banner_preview_creeper_lime
nil,mcl_panes:pane_purple
Tube Coral Block,mcl_ocean:tube_coral_block
Green Concrete Slab,mcl_stairs:slab_concrete_green_top
Dead Tube Coral Block,mcl_ocean:dead_tube_coral_block
Powered Redstone Trail (00010000),mesecons:wire_00010000_on
Redstone Trail (00010000),mesecons:wire_00010000_off
Green Concrete Slab,mcl_stairs:slab_concrete_green
Tube Coral,mcl_ocean:tube_coral
Green Concrete Stairs,mcl_stairs:stair_concrete_green_inner Copper Grate,mcl_copper:block_grate_preserved
Preview Banner,mcl_banners:banner_preview_stripe_downleft_light_blue
Preview Banner,mcl_banners:banner_preview_curly_border_lime
Axolotl,mcl_buckets:bucket_axolotl
Tube Coral Fan,mcl_ocean:tube_coral_fan
Green Concrete Stairs,mcl_stairs:stair_concrete_green_outer
Exposed Copper Grate,mcl_copper:block_exposed_grate_preserved
Redstone Trail (10010000),mesecons:wire_10010000_off
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_lime
Green Concrete Stairs,mcl_stairs:stair_concrete_green
Brain Coral Block,mcl_ocean:brain_coral_block
Redstone Trail (01110011),mesecons:wire_01110011_off
Weathered Copper Grate,mcl_copper:block_weathered_grate_preserved
Preview Banner,mcl_banners:banner_preview_stripe_left_light_blue
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_lime
Soul Lantern,mcl_lanterns:soul_lantern_ceiling
Brain Coral,mcl_ocean:brain_coral
Netherite Pickaxe,mcl_tools:pick_netherite
Dead Brain Coral,mcl_ocean:dead_brain_coral
Kelp,mcl_ocean:kelp
Preview Banner,mcl_banners:banner_preview_diagonal_right_lime
Flower Pot,mcl_flowerpots:flower_pot
Brain Coral Fan,mcl_ocean:brain_coral_fan
Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_blue_outer
Powered Redstone Trail (01010000),mesecons:wire_01010000_on
Redstone Trail (01010000),mesecons:wire_01010000_off
Preview Banner,mcl_banners:banner_preview_diagonal_left_lime
Strider,mobs_mc:strider
Bubble Coral Block,mcl_ocean:bubble_coral_block
Blue Terracotta Stairs,mcl_stairs:stair_hardened_clay_blue
Dead Bubble Coral Block,mcl_ocean:dead_bubble_coral_block
Preview Banner,mcl_banners:banner_preview_stripe_top_light_blue
Preview Banner,mcl_banners:banner_preview_flower_lime
Observer,mcl_observers:observer_off
Bubble Coral,mcl_ocean:bubble_coral
Blue Concrete Slab,mcl_stairs:slab_concrete_blue_top
Powered Redstone Trail (11010000),mesecons:wire_11010000_on
Redstone Trail (11010000),mesecons:wire_11010000_off
Preview Banner,mcl_banners:banner_preview_gradient_lime
Blue Concrete Slab,mcl_stairs:slab_concrete_blue
Bubble Coral Fan,mcl_ocean:bubble_coral_fan
nil,mcl_observers:observer_up_on
Dead Bubble Coral Fan,mcl_ocean:dead_bubble_coral_fan
Preview Banner,mcl_banners:banner_preview_triangle_top_light_blue
Preview Banner,mcl_banners:banner_preview_gradient_up_lime
nil,mcl_heads:skeleton_ceiling
Fire Coral Block,mcl_ocean:fire_coral_block Copper Bulb On,mcl_copper:bulb_on_preserved
Dead Fire Coral Block,mcl_ocean:dead_fire_coral_block
Preview Banner,mcl_banners:banner_preview_triangles_bottom_light_blue
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_lime
Infested Mossy Stone Bricks,mcl_monster_eggs:monster_egg_stonebrickmossy
Fire Coral,mcl_ocean:fire_coral
nil,mcl_heads:skeleton_wall
Dead Fire Coral,mcl_ocean:dead_fire_coral
Preview Banner,mcl_banners:banner_preview_triangles_top_light_blue
Dried Kelp Block,mcl_ocean:dried_kelp_block
nil,mcl_observers:observer_up_off
Fire Coral Fan,mcl_ocean:fire_coral_fan
Weathered Copper Bulb On,mcl_copper:bulb_weathered_on_preserved
nil,mcl_heads:wither_skeleton_ceiling
TNT,mcl_tnt:tnt
Preview Banner,mcl_banners:banner_preview_half_vertical_lime
Cooked Salmon,mcl_fishing:salmon_cooked
Prismarine Crystals,mcl_ocean:prismarine_crystals
Oxidized Copper Bulb On,mcl_copper:bulb_oxidized_on_preserved
Dead Horn Coral Block,mcl_ocean:dead_horn_coral_block
Bell,mcl_bells:bell
nil,mcl_heads:wither_skeleton_wall
nil,mesecons_walllever:wall_lever_on
Horn Coral,mcl_ocean:horn_coral
nil,mcl_mushrooms:brown_mushroom_block_cap_010101
Stone Cutter,mcl_stonecutter:stonecutter
nil,mcl_ocean:kelp_sand
Preview Banner,mcl_banners:banner_preview_thing_lime
Glow Squid,mobs_mc:glow_squid
Horn Coral Fan,mcl_ocean:horn_coral_fan
Orange Terracotta Slab,mcl_stairs:slab_hardened_clay_orange_top
Dead Horn Coral Fan,mcl_ocean:dead_horn_coral_fan
Armor Stand,mcl_armor_stand:armor_stand
Preview Banner,mcl_banners:banner_preview_rhombus_lime
Wheat,mcl_farming:wheat_item
Poisonous Potato,mcl_farming:potato_item_poison
Moss,mcl_lush_caves:moss
Cartography Table,mcl_cartography_table:cartography_table
Lava Bucket,mcl_buckets:bucket_lava
Preview Banner,mcl_banners:banner_preview_skull_lime
Orange Terracotta Stairs,mcl_stairs:stair_hardened_clay_orange_outer
Feather,mcl_mobitems:feather
Orange Terracotta Stairs,mcl_stairs:stair_hardened_clay_orange
Empty Map,mcl_maps:empty_map
Smithing Template,mcl_armor:coast
Dark Prismarine Slab,mcl_stairs:slab_prismarine_dark
Ocelot,mobs_mc:ocelot
Orange Concrete Slab,mcl_stairs:slab_concrete_orange_double
Oak Boat,mcl_boats:boat_oak
Orange Concrete Slab,mcl_stairs:slab_concrete_orange
Raw Fish,mcl_fishing:fish_raw
Preview Banner,mcl_banners:banner_preview_square_bottom_left_lime
Black Glass Pane,mcl_panes:pane_black_flat
Orange Concrete Stairs,mcl_stairs:stair_concrete_orange_outer
Orange Concrete Stairs,mcl_stairs:stair_concrete_orange
Diamond Ore,mcl_core:stone_with_diamond
Dark Oak Log,mcl_trees:stripped_dark_oak
Preview Banner,mcl_banners:banner_preview_square_bottom_right_lime
Leather Boots,mcl_armor:boots_leather
Diorite Slab,mcl_stairs:slab_diorite
Redstone Trail (11101100),mesecons:wire_11101100_off
Magenta Terracotta Stairs,mcl_stairs:stair_hardened_clay_magenta
Magenta Concrete Slab,mcl_stairs:slab_concrete_magenta_double
Preview Banner,mcl_banners:banner_preview_square_top_left_lime
Redstone Repeater (Delay 2),mesecons_delayer:delayer_off_2
Magenta Concrete Slab,mcl_stairs:slab_concrete_magenta
Magenta Concrete Stairs,mcl_stairs:stair_concrete_magenta_inner Copper Bulb,mcl_copper:bulb_off_preserved
Brush,mcl_sus_nodes:brush
Preview Banner,mcl_banners:banner_preview_square_top_right_lime
Spider Eye,mcl_mobitems:spider_eye
Saddle,mcl_mobitems:saddle
Iron Horse Armor,mcl_mobitems:iron_horse_armor
Golden Horse Armor,mcl_mobitems:gold_horse_armor
Diamond Horse Armor,mcl_mobitems:diamond_horse_armor
Smithing Template,mcl_armor:dune
Gunpowder,mcl_mobitems:gunpowder
Magenta Concrete Stairs,mcl_stairs:stair_concrete_magenta
Exposed Copper Bulb On,mcl_copper:bulb_exposed_on_preserved
Pink Terracotta Slab,mcl_stairs:slab_hardened_clay_pink_top
Pink Terracotta Slab,mcl_stairs:slab_hardened_clay_pink
Preview Banner,mcl_banners:banner_preview_stripe_bottom_lime
Pink Terracotta Stairs,mcl_stairs:stair_hardened_clay_pink_inner
Smithing Template,mcl_armor:wild
Pink Terracotta,mcl_colorblocks:hardened_clay_pink
Pink Terracotta Stairs,mcl_stairs:stair_hardened_clay_pink
Orange Tulip,mcl_flowers:tulip_orange
Preview Banner,mcl_banners:banner_preview_stripe_center_lime
Pink Tulip Flower Pot,mcl_flowerpots:flower_pot_tulip_pink
Red Tulip,mcl_flowers:tulip_red
Wither Rose,mcl_flowers:wither_rose
Suspicious Sand,mcl_sus_nodes:sand_1
nil,mcl_ocean:sea_pickle_2_off_dead_brain_coral_block
